feature,anomaly_correlation,impact_correlation,discrimination_score,variance_score,combined_importance
volatility_20,0.33887161639043184,0.2082194901550798,1.4032680729686808,15.7768906170719,0.5786681081964329
total_ask_depth,0.44676546692261404,0.027828318182012826,0.8583511333281215,3.5330733794140783,0.45872490888927375
order_size,0.25425371481473485,0.19756771375408727,0.868800636115,1.7222462228373732,0.4347319272751201
depth_ratio,0.3981109672794871,0.05478455673368228,0.7233780339204966,449857946.83247197,0.4203553607159989
volatility,0.27491355758037067,0.1447028728862437,1.0403982674686618,0.040352050613435414,0.36549114345309724
total_bid_depth,0.46711871212833467,0.08395574208284479,0.25155955538853,3.549584363384713,0.3623461185538933
is_market_order,0.17791167193377988,0.16905107733119948,0.4887712749358827,0.6874999780209985,0.2883842447621482
is_aggressive,0.2089535911064683,0.15472761185436365,0.49164820435842355,0.5177951281558154,0.28010887368616266
momentum,0.0658587459196978,0.0371562263603549,0.5226383067058672,0.9356085614625145,0.2355788837634105
distance_from_mid,0.09354058380846134,0.1120337755010588,0.8494692521355952,-0.15636451740589372,0.22528376486023186
price_aggressiveness,0.13809362538408554,0.04353173128780814,0.7674909202955081,0.01140293736009401,0.22293544733508772
lob_imbalance,0.06236333937403896,0.04097496574556713,0.28545692402618617,2.8770299217447657,0.19432921027852296
order_flow_imbalance,0.015147951169313643,0.10844583011202769,0.2307383742122164,16.96598171987168,0.18474060434377704
order_book_imbalance,0.048041891199198786,0.050510591898450516,0.19879313574583973,1.9931060334016937,0.17412856119838263
side_numeric,0.029765684840392104,0.022033136930208273,0.06017426833814962,34.38882523389488,0.13055106868284924
momentum_short,0.033450381116997864,0.01586535625189976,0.055895504197425505,1.3680751244078149,0.12931886016185418
relative_spread,0.17670940693871218,0.004199520443281253,0.20033082634013524,0.14741943324343312,0.1267517275008396
time_since_last_trade,,,0.0,0.0,
