timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
0,250.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0
1,250.0,1.25,249.375,2.0,,,,,,,,,250.625,2.0,,,,,,,,,0.0
2,250.0,1.25,249.375,4.0,,,,,,,,,250.625,4.0,,,,,,,,,0.0
3,249.375,0.0,,,,,,,,,,,250.625,6.0,,,,,,,,,-1.0
4,248.626875,1.2468749999999886,248.00343750000002,2.0,,,,,,,,,249.2503125,2.0,250.625,6.0,,,,,,,-0.6
5,248.626875,1.2468749999999886,248.00343750000002,2.0,247.2594271875,2.0,,,,,,,249.2503125,1.0,250.625,6.0,,,,,,,-0.2727272727272727
6,248.626875,1.2468749999999886,248.00343750000002,2.0,247.63236750000002,2.0,247.2594271875,2.0,,,,,249.2503125,1.0,250.625,6.0,,,,,,,-0.07692307692307693
7,248.37824812500003,1.4917612499999962,247.63236750000002,1.0,247.2594271875,2.0,,,,,,,249.12412875,2.0,249.2503125,1.0,250.625,6.0,,,,,-0.5
8,247.94321325046877,0.6216915009375157,247.63236750000002,1.0,247.2594271875,2.0,247.0121677603125,2.0,,,,,248.25405900093753,2.0,249.12412875,2.0,249.2503125,1.0,250.625,6.0,,,-0.375
9,247.53933441567176,0.5598144563435596,247.2594271875,2.0,247.0121677603125,2.0,246.5795255775912,2.0,,,,,247.81924164384355,2.0,248.25405900093753,2.0,249.12412875,2.0,249.2503125,1.0,250.625,6.0,-0.3684210526315789
10,247.27561113437804,0.032367893756088506,247.2594271875,2.0,247.0121677603125,2.0,246.5795255775912,2.0,246.05409840917773,2.0,,,247.29179508125608,2.0,247.81924164384355,2.0,248.25405900093753,2.0,249.12412875,2.0,249.2503125,1.0,-0.058823529411764705
